lev7 m1 continue mci0 mask0 lm0 mum0, muum-1, mui0,, mm-1, mi-1
fill sz79 level7 m0,0 i0,14 o0,0 high0,1 low0,0 mset255,255
fill sz80 level7 m0,1 i0,14 o0,0 high0,1 low0,0 mset255,255
fill sz81 level7 m0,0 i64,14 o0,0 high0,1 low0,0 mset255,255
fill sz82 level7 m0,1 i64,14 o0,0 high0,1 low0,0 mset255,255
fill sz83 level7 m0,1 i0,15 o0,0 high0,1 low0,0 mset255,255
fill sz84 level7 m0,0 i128,14 o0,0 high0,1 low0,0 mset255,255
fill sz85 level7 m0,1 i128,14 o0,0 high0,1 low0,0 mset255,255
fill sz86 level7 m0,0 i192,14 o0,0 high0,1 low0,0 mset255,255
fill sz87 level7 m0,1 i192,14 o0,0 high0,1 low0,0 mset255,255
fill sz88 level7 m0,1 i128,15 o0,0 high0,1 low0,0 mset255,255
fill sz89 level7 m0,0 i0,16 o0,0 high0,1 low0,0 mset255,255
fill sz90 level7 m0,1 i0,16 o0,0 high0,1 low0,0 mset255,255
fill sz91 level7 m0,0 i64,16 o0,0 high0,1 low0,0 mset255,255
fill sz92 level7 m0,1 i64,16 o0,0 high0,1 low0,0 mset255,255
fill sz93 level7 m0,0 i0,17 o0,0 high0,1 low0,0 mset255,255
fill sz94 level7 m0,1 i0,17 o0,0 high0,1 low0,0 mset255,255
fill sz95 level7 m0,0 i128,16 o0,0 high0,1 low0,0 mset255,255
fill sz96 level7 m0,1 i128,16 o0,0 high0,1 low0,0 mset255,255
fill sz97 level7 m0,0 i192,16 o0,0 high0,1 low0,0 mset255,255
fill sz98 level7 m0,1 i192,16 o0,0 high0,1 low0,0 mset255,255
fill sz99 level7 m0,0 i128,17 o0,0 high0,1 low0,0 mset255,255
fill sz100 level7 m0,1 i128,17 o0,0 high0,1 low0,0 mset255,255
fill sz101 level7 m0,0 i0,18 o0,0 high0,1 low0,0 mset255,255
fill sz102 level7 m0,1 i0,18 o0,0 high0,1 low0,0 mset255,255
fill sz103 level7 m0,0 i64,18 o0,0 high0,1 low0,0 mset255,255
fill sz104 level7 m0,1 i64,18 o0,0 high0,1 low0,0 mset255,255
fill sz105 level7 m0,0 i0,19 o0,0 high0,1 low0,0 mset255,255
fill sz106 level7 m0,1 i0,19 o0,0 high0,1 low0,0 mset255,255
fill sz107 level7 m0,0 i128,18 o0,0 high0,1 low0,0 mset255,255
fill sz108 level7 m0,1 i128,18 o0,0 high0,1 low0,0 mset255,255
fill sz109 level7 m0,0 i192,18 o0,0 high0,1 low0,0 mset255,255
fill sz110 level7 m0,1 i192,18 o0,0 high0,1 low0,0 mset255,255
fill sz111 level7 m0,0 i128,19 o0,0 high0,1 low0,0 mset255,255
fill sz112 level7 m0,1 i128,19 o0,0 high0,1 low0,0 mset255,255
fill sz113 level7 m0,0 i0,24 o0,0 high0,1 low0,0 mset255,255
fill sz114 level7 m0,1 i0,24 o0,0 high0,1 low0,0 mset255,255
fill sz115 level7 m0,0 i64,24 o0,0 high0,1 low0,0 mset255,255
fill sz116 level7 m0,1 i64,24 o0,0 high0,1 low0,0 mset255,255
fill sz117 level7 m0,0 i0,25 o0,0 high0,1 low0,0 mset255,255
fill sz118 level7 m0,1 i0,25 o0,0 high0,1 low0,0 mset255,255
fill sz119 level7 m0,0 i128,24 o0,0 high0,1 low0,0 mset255,255
fill sz120 level7 m0,1 i128,24 o0,0 high0,1 low0,0 mset255,255
fill sz121 level7 m0,0 i192,24 o0,0 high0,1 low0,0 mset255,255
fill sz122 level7 m0,1 i192,24 o0,0 high0,1 low0,0 mset255,255
fill sz123 level7 m0,0 i128,25 o0,0 high0,1 low0,0 mset255,255
fill sz124 level7 m0,1 i128,25 o0,0 high0,1 low0,0 mset255,255
fill sz125 level7 m0,0 i0,26 o0,0 high0,1 low0,0 mset255,255
fill sz126 level7 m0,1 i0,26 o0,0 high0,1 low0,0 mset255,255
fill sz127 level7 m0,0 i64,26 o0,0 high0,1 low0,0 mset255,255
fill sz128 level7 m0,1 i64,26 o0,0 high0,1 low0,0 mset255,255
fill sz129 level7 m0,0 i0,27 o0,0 high0,1 low0,0 mset255,255
fill sz130 level7 m0,1 i0,27 o0,0 high0,1 low0,0 mset255,255
fill sz131 level7 m0,0 i128,26 o0,0 high0,1 low0,0 mset255,255
fill sz132 level7 m0,1 i128,26 o0,0 high0,1 low0,0 mset255,255
fill sz133 level7 m0,0 i192,26 o0,0 high0,1 low0,0 mset255,255
fill sz134 level7 m0,1 i192,26 o0,0 high0,1 low0,0 mset255,255
fill sz135 level7 m0,0 i128,27 o0,0 high0,1 low0,0 mset255,255
fill sz136 level7 m0,1 i128,27 o0,0 high0,1 low0,0 mset255,255
fill sz137 level7 m0,0 i0,32 o0,0 high0,1 low0,0 mset255,255
fill sz138 level7 m0,1 i0,32 o0,0 high0,1 low0,0 mset255,255
fill sz139 level7 m0,0 i64,32 o0,0 high0,1 low0,0 mset255,255
fill sz140 level7 m0,1 i64,32 o0,0 high0,1 low0,0 mset255,255
fill sz141 level7 m0,0 i0,33 o0,0 high0,1 low0,0 mset255,255
fill sz142 level7 m0,1 i0,33 o0,0 high0,1 low0,0 mset255,255
fill sz143 level7 m0,0 i128,32 o0,0 high0,1 low0,0 mset255,255
fill sz144 level7 m0,1 i128,32 o0,0 high0,1 low0,0 mset255,255
fill sz145 level7 m0,0 i192,32 o0,0 high0,1 low0,0 mset255,255
fill sz146 level7 m0,1 i192,32 o0,0 high0,1 low0,0 mset255,255
fill sz147 level7 m0,0 i128,33 o0,0 high0,1 low0,0 mset255,255
fill sz148 level7 m0,1 i128,33 o0,0 high0,1 low0,0 mset255,255
fill sz149 level7 m0,0 i0,34 o0,0 high0,1 low0,0 mset255,255
fill sz150 level7 m0,1 i0,34 o0,0 high0,1 low0,0 mset255,255
fill sz151 level7 m0,0 i64,34 o0,0 high0,1 low0,0 mset255,255
fill sz152 level7 m0,1 i64,34 o0,0 high0,1 low0,0 mset255,255
fill sz153 level7 m0,0 i0,35 o0,0 high0,1 low0,0 mset255,255
fill sz154 level7 m0,1 i0,35 o0,0 high0,1 low0,0 mset255,255
fill sz155 level7 m0,0 i128,34 o0,0 high0,1 low0,0 mset255,255
fill sz156 level7 m0,1 i128,34 o0,0 high0,1 low0,0 mset255,255
fill sz157 level7 m0,0 i192,34 o0,0 high0,1 low0,0 mset255,255
fill sz158 level7 m0,1 i192,34 o0,0 high0,1 low0,0 mset255,255
fill sz159 level7 m0,0 i128,35 o0,0 high0,1 low0,0 mset255,255
