lev7 m1 mask0 to0 lowlim1 od0
low 0
tb49
nmc-1
lev6 m49 mask255 to255 lowlim0 od0
low 0
lev6 m49 continue mci0 mask255 lm81 mum255, mui64,, mm255, mi15
lev6 m49 continue mci0 mask255 lm81 mum255, mui1,, mm255, mi15
lev6 m49 continue mci0 mask255 lm162 mum255, mui128,, mm254, mi15
lev6 m49 continue mci0 mask255 lm243 mum255, mui192,, mm127, mi15
lev6 m49 continue mci0 mask255 lm324 mum255, mui129,, mm63, mi15
lev6 m49 continue mci0 mask255 lm405 mum255, mui2,, mm126, mi15
lev6 m49 continue mci0 mask255 lm486 mum255, mui66,, mm253, mi15
lev6 m49 continue mci0 mask255 lm486 mum255, mui3,, mm253, mi15
lev6 m49 continue mci0 mask255 lm567 mum255, mui4,, mm252, mi15
lev6 m49 continue mci0 mask255 lm648 mum255, mui68,, mm251, mi15
lev6 m49 continue mci0 mask255 lm702 mum255, mui132,, mm255, mi79
lev6 m49 continue mci0 mask255 lm783 mum255, mui196,, mm123, mi15
lev6 m49 continue mci0 mask255 lm972 mum255, mui6,, mm127, mi79
lev6 m49 continue mci0 mask255 lm1053 mum255, mui70,, mm249, mi15
lev6 m49 continue mci0 mask255 lm1107 mum255, mui8,, mm253, mi79
lev6 m49 continue mci0 mask255 lm1188 mum255, mui72,, mm247, mi15
lev6 m49 continue mci0 mask255 lm1188 mum255, mui9,, mm247, mi15
lev6 m49 continue mci0 mask255 lm1269 mum255, mui136,, mm246, mi15
lev6 m49 continue mci0 mask255 lm1458 mum255, mui200,, mm255, mi143
lev6 m49 continue mci0 mask255 lm1647 mum255, mui137,, mm191, mi143
lev6 m49 continue mci0 mask255 lm1836 mum255, mui12,, mm254, mi143
lev6 m49 continue mci0 mask255 lm1917 mum255, mui76,, mm243, mi15
lev6 m49 continue mci0 mask255 lm1971 mum255, mui140,, mm247, mi79
lev6 m49 continue mci0 mask255 lm2160 mum255, mui204,, mm251, mi143
lev6 m49 continue mci0 mask255 lm2601 mum255, mui16,, mm255, mi207
lev6 m49 continue mci0 mask255 lm2601 mum255, mui17,, mm255, mi207
lev6 m49 continue mci0 mask255 lm2655 mum255, mui144,, mm255, mi31
lev6 m49 continue mci0 mask255 lm2655 mum255, mui145,, mm255, mi31
lev6 m49 continue mci0 mask255 lm2709 mum255, mui18,, mm127, mi31
lev6 m49 continue mci0 mask255 lm2709 mum255, mui19,, mm127, mi31
lev6 m49 continue mci0 mask255 lm2763 mum255, mui24,, mm253, mi31
